date_time,concentration
2019-12-29 19:29:59,0.01
2019-12-29 19:31:59,0.009
2019-12-29 19:33:59,0.009
2019-12-29 19:35:59,0.009
2019-12-29 19:37:59,0.009
2019-12-29 19:39:59,0.01
2019-12-29 19:41:59,0.01
2019-12-29 19:43:59,0.011
2019-12-29 19:45:59,0.013
2019-12-29 19:47:59,0.015
2019-12-29 19:49:59,0.015
2019-12-29 19:51:59,0.017
2019-12-29 19:53:59,0.016
2019-12-29 19:55:59,0.014
2019-12-29 19:57:59,0.013
2019-12-29 19:59:59,0.01
2019-12-29 20:01:59,0.009
2019-12-29 20:03:59,0.01
2019-12-29 20:05:59,0.01
2019-12-29 20:07:59,0.01
2019-12-29 20:09:59,0.01
2019-12-29 20:11:59,0.01
2019-12-29 20:13:59,0.01
2019-12-29 20:15:59,0.012
2019-12-29 20:17:59,0.016
2019-12-29 20:19:59,0.014
2019-12-29 20:21:59,0.011
2019-12-29 20:23:59,0.01
2019-12-29 20:25:59,0.01
2019-12-29 20:27:59,0.01
2019-12-29 20:29:59,0.01
2019-12-29 20:31:59,0.009
2019-12-29 20:33:59,0.01
2019-12-29 20:35:59,0.011
2019-12-29 20:37:59,0.01
2019-12-29 20:39:59,0.009
2019-12-29 20:41:59,0.009
2019-12-29 20:43:59,0.009
2019-12-29 20:45:59,0.01
2019-12-29 20:47:59,0.01
2019-12-29 20:49:59,0.01
2019-12-29 20:51:59,0.011
2019-12-29 20:53:59,0.011
2019-12-29 20:55:59,0.011
2019-12-29 20:57:59,0.011
2019-12-29 20:59:59,0.011
2019-12-29 21:01:59,0.012
2019-12-29 21:03:59,0.012
2019-12-29 21:05:59,0.013
2019-12-29 21:07:59,0.013
2019-12-29 21:09:59,0.013
2019-12-29 21:11:59,0.013
2019-12-29 21:13:59,0.013
2019-12-29 21:15:59,0.013
2019-12-29 21:17:59,0.013
2019-12-29 21:19:59,0.012
2019-12-29 21:21:59,0.012
2019-12-29 21:23:59,0.012
2019-12-29 21:25:59,0.011
2019-12-29 21:27:59,0.011
2019-12-29 21:29:59,0.011
2019-12-29 21:31:59,0.011
2019-12-29 21:33:59,0.011
2019-12-29 21:35:59,0.01
2019-12-29 21:37:59,0.011
2019-12-29 21:39:59,0.01
2019-12-29 21:41:59,0.01
2019-12-29 21:43:59,0.01
2019-12-29 21:45:59,0.011
2019-12-29 21:47:59,0.011
2019-12-29 21:49:59,0.011
2019-12-29 21:51:59,0.011
2019-12-29 21:53:59,0.012
2019-12-29 21:55:59,0.012
2019-12-29 21:57:59,0.012
2019-12-29 21:59:59,0.012
2019-12-29 22:01:59,0.013
2019-12-29 22:03:59,0.013
2019-12-29 22:05:59,0.013
2019-12-29 22:07:59,0.014
2019-12-29 22:09:59,0.015
2019-12-29 22:11:59,0.015
2019-12-29 22:13:59,0.014
2019-12-29 22:15:59,0.015
2019-12-29 22:17:59,0.015
2019-12-29 22:19:59,0.014
2019-12-29 22:21:59,0.014
2019-12-29 22:23:59,0.014
2019-12-29 22:25:59,0.015
2019-12-29 22:27:59,0.015
2019-12-29 22:29:59,0.014
2019-12-29 22:31:59,0.016
2019-12-29 22:33:59,0.017
2019-12-29 22:35:59,0.016
2019-12-29 22:37:59,0.015
2019-12-29 22:39:59,0.016
2019-12-29 22:41:59,0.016
2019-12-29 22:43:59,0.014
2019-12-29 22:45:59,0.014
2019-12-29 22:47:59,0.013
2019-12-29 22:49:59,0.013
2019-12-29 22:51:59,0.013
2019-12-29 22:53:59,0.013
2019-12-29 22:55:59,0.013
2019-12-29 22:57:59,0.013
2019-12-29 22:59:59,0.016
2019-12-29 23:01:59,0.019
2019-12-29 23:03:59,0.017
2019-12-29 23:05:59,0.017
2019-12-29 23:07:59,0.017
2019-12-29 23:09:59,0.017
2019-12-29 23:11:59,0.019
2019-12-29 23:13:59,0.02
2019-12-29 23:15:59,0.018
2019-12-29 23:17:59,0.017
2019-12-29 23:19:59,0.017
2019-12-29 23:21:59,0.017
2019-12-29 23:23:59,0.016
2019-12-29 23:25:59,0.016
2019-12-29 23:27:59,0.016
2019-12-29 23:29:59,0.015
2019-12-29 23:31:59,0.016
2019-12-29 23:33:59,0.016
2019-12-29 23:35:59,0.016
2019-12-29 23:37:59,0.017
2019-12-29 23:39:59,0.017
2019-12-29 23:41:59,0.016
2019-12-29 23:43:59,0.016
2019-12-29 23:45:59,0.015
2019-12-29 23:47:59,0.016
2019-12-29 23:49:59,0.019
2019-12-29 23:51:59,0.02
2019-12-29 23:53:59,0.02
2019-12-29 23:55:59,0.021
2019-12-29 23:57:59,0.02
2019-12-29 23:59:59,0.018
2019-12-30 00:01:59,0.015
2019-12-30 00:03:59,0.013
2019-12-30 00:05:59,0.012
2019-12-30 00:07:59,0.012
2019-12-30 00:09:59,0.012
2019-12-30 00:11:59,0.012
2019-12-30 00:13:59,0.011
2019-12-30 00:15:59,0.011
2019-12-30 00:17:59,0.011
2019-12-30 00:19:59,0.011
2019-12-30 00:21:59,0.011
2019-12-30 00:23:59,0.011
2019-12-30 00:25:59,0.011
2019-12-30 00:27:59,0.011
2019-12-30 00:29:59,0.011
2019-12-30 00:31:59,0.011
2019-12-30 00:33:59,0.012
2019-12-30 00:35:59,0.012
2019-12-30 00:37:59,0.012
2019-12-30 00:39:59,0.012
2019-12-30 00:41:59,0.014
2019-12-30 00:43:59,0.014
2019-12-30 00:45:59,0.01
2019-12-30 00:47:59,0.009
2019-12-30 00:49:59,0.009
2019-12-30 00:51:59,0.009
2019-12-30 00:53:59,0.009
2019-12-30 00:55:59,0.009
2019-12-30 00:57:59,0.009
2019-12-30 00:59:59,0.009
2019-12-30 01:01:59,0.009
2019-12-30 01:03:59,0.009
2019-12-30 01:05:59,0.009
2019-12-30 01:07:59,0.009
2019-12-30 01:09:59,0.01
2019-12-30 01:11:59,0.011
2019-12-30 01:13:59,0.011
2019-12-30 01:15:59,0.011
2019-12-30 01:17:59,0.011
2019-12-30 01:19:59,0.011
2019-12-30 01:21:59,0.011
2019-12-30 01:23:59,0.011
2019-12-30 01:25:59,0.01
2019-12-30 01:27:59,0.009
2019-12-30 01:29:59,0.007
2019-12-30 01:31:59,0.006
2019-12-30 01:33:59,0.005
2019-12-30 01:35:59,0.005
2019-12-30 01:37:59,0.005
2019-12-30 01:39:59,0.005
2019-12-30 01:41:59,0.005
2019-12-30 01:43:59,0.005
2019-12-30 01:45:59,0.005
2019-12-30 01:47:59,0.005
2019-12-30 01:49:59,0.005
2019-12-30 01:51:59,0.005
2019-12-30 01:53:59,0.006
2019-12-30 01:55:59,0.006
2019-12-30 01:57:59,0.006
2019-12-30 01:59:59,0.01
2019-12-30 02:01:59,0.012
2019-12-30 02:03:59,0.013
2019-12-30 02:05:59,0.014
2019-12-30 02:07:59,0.014
2019-12-30 02:09:59,0.014
2019-12-30 02:11:59,0.013
2019-12-30 02:13:59,0.013
2019-12-30 02:15:59,0.012
2019-12-30 02:17:59,0.013
2019-12-30 02:19:59,0.013
2019-12-30 02:21:59,0.014
2019-12-30 02:23:59,0.014
2019-12-30 02:25:59,0.014
2019-12-30 02:27:59,0.014
2019-12-30 02:29:59,0.014
2019-12-30 02:31:59,0.015
2019-12-30 02:33:59,0.015
2019-12-30 02:35:59,0.015
2019-12-30 02:37:59,0.015
2019-12-30 02:39:59,0.015
2019-12-30 02:41:59,0.015
2019-12-30 02:43:59,0.014
2019-12-30 02:45:59,0.014
2019-12-30 02:47:59,0.015
2019-12-30 02:49:59,0.016
2019-12-30 02:51:59,0.017
2019-12-30 02:53:59,0.016
2019-12-30 02:55:59,0.016
2019-12-30 02:57:59,0.016
2019-12-30 02:59:59,0.016
2019-12-30 03:01:59,0.017
2019-12-30 03:03:59,0.016
2019-12-30 03:05:59,0.016
2019-12-30 03:07:59,0.016
2019-12-30 03:09:59,0.015
2019-12-30 03:11:59,0.015
2019-12-30 03:13:59,0.013
2019-12-30 03:15:59,0.013
2019-12-30 03:17:59,0.012
2019-12-30 03:19:59,0.012
2019-12-30 03:21:59,0.012
2019-12-30 03:23:59,0.012
2019-12-30 03:25:59,0.012
2019-12-30 03:27:59,0.012
2019-12-30 03:29:59,0.012
2019-12-30 03:31:59,0.012
2019-12-30 03:33:59,0.012
2019-12-30 03:35:59,0.012
2019-12-30 03:37:59,0.013
2019-12-30 03:39:59,0.013
2019-12-30 03:41:59,0.013
2019-12-30 03:43:59,0.013
2019-12-30 03:45:59,0.013
2019-12-30 03:47:59,0.012
2019-12-30 03:49:59,0.012
2019-12-30 03:51:59,0.012
2019-12-30 03:53:59,0.013
2019-12-30 03:55:59,0.013
2019-12-30 03:57:59,0.013
2019-12-30 03:59:59,0.013
2019-12-30 04:01:59,0.014
2019-12-30 04:03:59,0.015
2019-12-30 04:05:59,0.016
2019-12-30 04:07:59,0.016
2019-12-30 04:09:59,0.015
2019-12-30 04:11:59,0.015
2019-12-30 04:13:59,0.015
2019-12-30 04:15:59,0.017
2019-12-30 04:17:59,0.017
2019-12-30 04:19:59,0.019
2019-12-30 04:21:59,0.019
2019-12-30 04:23:59,0.02
2019-12-30 04:25:59,0.02
2019-12-30 04:27:59,0.019
2019-12-30 04:29:59,0.017
2019-12-30 04:31:59,0.017
2019-12-30 04:33:59,0.017
2019-12-30 04:35:59,0.017
2019-12-30 04:37:59,0.016
2019-12-30 04:39:59,0.016
2019-12-30 04:41:59,0.015
2019-12-30 04:43:59,0.012
2019-12-30 04:45:59,0.014
2019-12-30 04:47:59,0.015
2019-12-30 04:49:59,0.015
2019-12-30 04:51:59,0.015
2019-12-30 04:53:59,0.014
2019-12-30 04:55:59,0.014
2019-12-30 04:57:59,0.014
2019-12-30 04:59:59,0.014
2019-12-30 05:01:59,0.013
2019-12-30 05:03:59,0.014
2019-12-30 05:05:59,0.013
2019-12-30 05:07:59,0.013
2019-12-30 05:09:59,0.013
2019-12-30 05:11:59,0.013
2019-12-30 05:13:59,0.013
2019-12-30 05:15:59,0.013
2019-12-30 05:17:59,0.017
2019-12-30 05:19:59,0.017
2019-12-30 05:21:59,0.019
2019-12-30 05:23:59,0.021
2019-12-30 05:25:59,0.017
2019-12-30 05:27:59,0.016
2019-12-30 05:29:59,0.015
2019-12-30 05:31:59,0.015
2019-12-30 05:33:59,0.015
2019-12-30 05:35:59,0.014
2019-12-30 05:37:59,0.014
2019-12-30 05:39:59,0.014
2019-12-30 05:41:59,0.014
2019-12-30 05:43:59,0.014
2019-12-30 05:45:59,0.014
2019-12-30 05:47:59,0.014
2019-12-30 05:49:59,0.014
2019-12-30 05:51:59,0.014
2019-12-30 05:53:59,0.015
2019-12-30 05:55:59,0.016
2019-12-30 05:57:59,0.016
2019-12-30 05:59:59,0.016
2019-12-30 06:01:59,0.016
2019-12-30 06:03:59,0.016
2019-12-30 06:05:59,0.016
2019-12-30 06:07:59,0.015
2019-12-30 06:09:59,0.015
2019-12-30 06:11:59,0.015
2019-12-30 06:13:59,0.014
2019-12-30 06:15:59,0.014
2019-12-30 06:17:59,0.014
2019-12-30 06:19:59,0.013
2019-12-30 06:21:59,0.013
2019-12-30 06:23:59,0.013
2019-12-30 06:25:59,0.013
2019-12-30 06:27:59,0.013
2019-12-30 06:29:59,0.013
2019-12-30 06:31:59,0.013
2019-12-30 06:33:59,0.014
2019-12-30 06:35:59,0.015
2019-12-30 06:37:59,0.015
2019-12-30 06:39:59,0.015
2019-12-30 06:41:59,0.015
2019-12-30 06:43:59,0.015
2019-12-30 06:45:59,0.015
2019-12-30 06:47:59,0.015
2019-12-30 06:49:59,0.014
2019-12-30 06:51:59,0.014
2019-12-30 06:53:59,0.013
2019-12-30 06:55:59,0.012
2019-12-30 06:57:59,0.012
2019-12-30 06:59:59,0.012
2019-12-30 07:01:59,0.012
2019-12-30 07:03:59,0.012
2019-12-30 07:05:59,0.012
2019-12-30 07:07:59,0.013
2019-12-30 07:09:59,0.013
2019-12-30 07:11:59,0.013
2019-12-30 07:13:59,0.013
2019-12-30 07:15:59,0.013
2019-12-30 07:17:59,0.013
2019-12-30 07:19:59,0.014
2019-12-30 07:21:59,0.023
2019-12-30 07:23:59,0.021
2019-12-30 07:25:59,0.028
2019-12-30 07:27:59,0.023
2019-12-30 07:29:59,0.019
2019-12-30 07:31:59,0.018
2019-12-30 07:33:59,0.018
2019-12-30 07:35:59,0.017
2019-12-30 07:37:59,0.017
2019-12-30 07:39:59,0.017
2019-12-30 07:41:59,0.018
2019-12-30 07:43:59,0.018
2019-12-30 07:45:59,0.017
2019-12-30 07:47:59,0.017
2019-12-30 07:49:59,0.017
2019-12-30 07:51:59,0.018
2019-12-30 07:53:59,0.017
2019-12-30 07:55:59,0.017
2019-12-30 07:57:59,0.017
2019-12-30 07:59:59,0.017
2019-12-30 08:01:59,0.016
2019-12-30 08:03:59,0.016
2019-12-30 08:05:59,0.015
2019-12-30 08:07:59,0.015
2019-12-30 08:09:59,0.014
2019-12-30 08:11:59,0.014
2019-12-30 08:13:59,0.015
2019-12-30 08:15:59,0.016
2019-12-30 08:17:59,0.018
2019-12-30 08:19:59,0.017
2019-12-30 08:21:59,0.015
2019-12-30 08:23:59,0.016
2019-12-30 08:25:59,0.017
2019-12-30 08:27:59,0.018
2019-12-30 08:29:59,0.018
2019-12-30 08:31:59,0.018
2019-12-30 08:33:59,0.017
2019-12-30 08:35:59,0.016
2019-12-30 08:37:59,0.016
2019-12-30 08:39:59,0.015
2019-12-30 08:41:59,0.015
2019-12-30 08:43:59,0.015
2019-12-30 08:45:59,0.015
2019-12-30 08:47:59,0.015
2019-12-30 08:49:59,0.015
2019-12-30 08:51:59,0.014
2019-12-30 08:53:59,0.014
2019-12-30 08:55:59,0.014
2019-12-30 08:57:59,0.015
2019-12-30 08:59:59,0.015
2019-12-30 09:01:59,0.015
2019-12-30 09:03:59,0.015
2019-12-30 09:05:59,0.015
2019-12-30 09:07:59,0.015
2019-12-30 09:09:59,0.016
2019-12-30 09:11:59,0.015
2019-12-30 09:13:59,0.016
2019-12-30 09:15:59,0.016
2019-12-30 09:17:59,0.017
2019-12-30 09:19:59,0.019
2019-12-30 09:21:59,0.02
2019-12-30 09:23:59,0.018
2019-12-30 09:25:59,0.016
2019-12-30 09:27:59,0.015
2019-12-30 09:29:59,0.015
2019-12-30 09:31:59,0.016
2019-12-30 09:33:59,0.014
2019-12-30 09:35:59,0.014
2019-12-30 09:37:59,0.015
2019-12-30 09:39:59,0.014
2019-12-30 09:41:59,0.014
2019-12-30 09:43:59,0.013
2019-12-30 09:45:59,0.013
2019-12-30 09:47:59,0.012
2019-12-30 09:49:59,0.011
2019-12-30 09:51:59,0.011
2019-12-30 09:53:59,0.011
